id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,pass_cross,outcome_id,outcome_name,under_pressure,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,goalkeeper_position_id,goalkeeper_position_name,pass_assisted_shot_id,pass_shot_assist,end_z,shot_key_pass_id,off_camera,pass_deflected,counterpress,aerial_won,pass_switch,out,foul_won_defensive,shot_one_on_one,pass_cut_back,block_offensive,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,shot_deflected,block_deflection,foul_committed_advantage,foul_won_advantage,pass_miscommunication,ball_recovery_recovery_failure,dribble_nutmeg,shot_open_goal,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,bad_behaviour_card_id,bad_behaviour_card_name,season_name,pass_no_touch,dribble_overrun,foul_committed_offensive,ball_recovery_offensive,foul_committed_penalty,foul_won_penalty,dribble_no_touch,shot_follows_dribble,block_save_block,half_start_late_video_start,shot_redirect,pass_backheel
9998e316-58fd-47fe-8ffd-81760f45e295,1059,1,00:35:03.540000,35,3,68,1.093,8656,16,Shot,768,England,1,Regular Play,768,England,,3293.0,Jesse Lingard,13.0,Right Center Midfield,,,,,,,120.0,46.1,40.0,Right Foot,87.0,Open Play,102.0,41.0,,98.0,Off T,,0.07025741,93.0,Normal,,,,,,0.9,e4cf34b0-994b-4c0e-9bd7-4a52fa734199,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
297a8375-4f20-4db8-8f73-730c9100c3c7,1108,1,00:36:39.060000,36,39,71,0.56,8656,16,Shot,768,England,4,From Throw In,768,England,,3233.0,Raheem Sterling,24.0,Left Center Forward,,,,,,,108.0,48.0,38.0,Left Foot,87.0,Open Play,104.0,52.0,,96.0,Blocked,,0.044552676,93.0,Normal,,,,,,,d6b329ca-884a-49b1-b2f3-fcbfd3c480fe,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
aeecebe2-9ffc-4a00-a85f-62c3f5ac2cce,1346,1,00:42:33.420000,42,33,81,1.453,8656,16,Shot,785,Croatia,1,Regular Play,785,Croatia,,5461.0,Šime Vrsaljko,2.0,Right Back,,,,,,,120.0,45.2,40.0,Right Foot,87.0,Open Play,88.0,51.0,,98.0,Off T,,0.014083298,93.0,Normal,,,,,,5.4,db7deb26-09e4-4f42-b39a-0d24026c5a6d,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
e309bc13-513a-4708-a9a3-bf943972bae1,1796,2,00:10:18.160000,55,18,109,0.133,8656,16,Shot,768,England,3,From Free Kick,768,England,,3293.0,Jesse Lingard,13.0,Right Center Midfield,,,,,,,102.0,45.0,38.0,Left Foot,87.0,Open Play,96.0,45.0,,96.0,Blocked,,0.07605162,93.0,Normal,,,,,,,a57e3896-c5c9-46f8-bf0c-7a591fd0b136,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
8642cdc4-4d85-4a84-9dba-af2ae7f997e3,1984,2,00:15:02.800000,60,2,116,1.213,8656,16,Shot,785,Croatia,2,From Corner,785,Croatia,,5470.0,Ivan Rakitić,20.0,Left Attacking Midfield,,,,,,,120.0,33.9,38.0,Left Foot,87.0,Open Play,97.0,34.0,,98.0,Off T,,0.030502638,95.0,Volley,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
d0931d90-d3ef-49e3-8511-5c09e2b98a3b,2156,2,00:19:25.573000,64,25,125,0.427,8656,16,Shot,785,Croatia,4,From Throw In,785,Croatia,,5474.0,Ivan Perišić,21.0,Left Wing,,,,,,,115.0,40.0,40.0,Right Foot,87.0,Open Play,103.0,41.0,,96.0,Blocked,,0.059572116,93.0,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
a9f3d1ce-840e-4778-993a-b2785b28a189,2194,2,00:21:56.560000,66,56,127,1.853,8656,16,Shot,768,England,3,From Free Kick,768,England,,10955.0,Harry Kane,22.0,Right Center Forward,,,,,,,120.0,45.0,40.0,Right Foot,87.0,Open Play,118.0,56.0,,98.0,Off T,1.0,0.012158659,93.0,Normal,,,,,,1.6,14b1860c-18bd-4f89-9193-928fc656afbc,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
b26852b0-3f87-4280-8988-3ffe08e5eac4,2231,2,00:22:44.600000,67,44,129,0.973,8656,16,Shot,785,Croatia,4,From Throw In,785,Croatia,,5474.0,Ivan Perišić,21.0,Left Wing,,,,,,,120.0,36.4,38.0,Left Foot,87.0,Open Play,114.0,40.0,,97.0,Goal,,0.20912401,93.0,Normal,True,,,,,0.4,ad73c923-bde4-4678-9bd2-6ac0303a08f0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
00a5f95b-735e-4c00-8431-2f735278b7f9,2321,2,00:26:06.480000,71,6,135,0.76,8656,16,Shot,785,Croatia,1,Regular Play,785,Croatia,,5474.0,Ivan Perišić,21.0,Left Wing,,,,,,,120.0,44.4,38.0,Left Foot,87.0,Open Play,112.0,30.0,,99.0,Post,,0.15445817,93.0,Normal,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
bfb7f336-d30f-4a51-b233-64e5704593f7,2324,2,00:26:07.920000,71,7,135,0.973,8656,16,Shot,785,Croatia,1,Regular Play,785,Croatia,,5465.0,Ante Rebić,17.0,Right Wing,,,,,,,120.0,37.0,38.0,Left Foot,87.0,Open Play,111.0,44.0,,100.0,Saved,,0.33236027,93.0,Normal,True,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
