minute,second,period,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,x,y,end_x,end_y,goal,shot_angle,distance_from_center,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Other,play_pattern_Regular Play,shot_distance
36,35,1,0,0,0,0,0,100.7,19.7,118.0,37.3,0,0.1982511371559386,20.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28.01035522802237
38,17,1,0,1,0,0,0,100.2,33.3,114.3,40.2,0,0.3599183182583798,6.700000000000003,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,20.90287061625747
43,57,1,1,0,0,0,0,111.8,37.8,120.0,48.4,0,0.863477112036715,2.200000000000003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.489994110716454
53,33,2,0,0,0,0,0,100.3,37.1,120.0,48.8,0,0.3926805512983079,2.8999999999999986,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,19.91230775173988
56,10,2,1,0,0,0,0,112.8,36.8,120.0,38.8,0,0.8960553845713435,3.200000000000003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.879086241436887
60,16,2,0,1,0,0,0,97.0,43.8,120.0,48.4,0,0.3356542736474926,3.799999999999997,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23.31179958733345
66,5,2,0,0,0,0,0,108.1,40.1,120.0,40.7,1,0.648500559577246,0.1000000000000014,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11.900420160649796
67,44,2,0,0,0,0,0,89.0,34.4,120.0,48.4,0,0.2487441987018889,5.600000000000001,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,31.50174598335781
74,32,2,0,0,0,0,0,99.8,32.6,120.0,45.6,0,0.347044759164671,7.399999999999999,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21.51278689523977
89,2,2,0,0,0,0,0,108.0,40.0,120.0,36.8,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
92,27,2,1,1,0,0,0,110.4,41.3,120.0,36.6,0,0.7786087429883308,1.2999999999999972,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9.687620966986678
93,43,2,0,1,0,0,0,108.9,36.6,109.7,37.1,0,0.6420041039235361,3.3999999999999986,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11.609048195265617
93,55,2,0,0,0,0,0,107.1,27.0,108.0,28.1,0,0.3125085688736587,13.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18.314202139323463
95,32,2,0,0,0,0,0,87.1,35.0,118.6,41.9,0,0.2366376738935136,5.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,33.27777035800326
95,34,2,1,1,0,0,0,111.5,45.0,120.0,42.0,0,0.696853076669344,5.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9.86154146165801
96,56,2,0,0,0,0,0,97.3,36.2,120.0,39.2,0,0.3397832990418808,3.799999999999997,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23.01586409414168
92,14,3,0,0,1,0,0,112.2,21.1,118.4,37.1,0,0.1539760708359279,18.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20.44627105366648
93,32,3,1,0,0,0,0,93.6,32.4,120.0,50.8,0,0.278471288626699,7.600000000000001,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27.47216773390845
100,23,3,0,0,0,0,0,96.8,44.6,117.8,42.3,0,0.3291300878009585,4.600000000000001,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23.65163842104813
103,1,3,1,0,0,0,0,107.7,42.8,108.5,35.7,0,0.6022784506040793,2.799999999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.614673994994874
105,17,4,1,0,0,0,0,113.8,45.2,120.0,37.8,0,0.7866093053163559,5.200000000000003,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8.091971329657568
116,59,4,0,0,0,0,0,101.5,50.4,119.1,38.6,0,0.3283586457475388,10.4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21.222865028077617
118,45,4,0,0,0,0,0,100.6,52.7,104.9,49.5,0,0.2891777114666073,12.700000000000005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23.187280996270356
120,3,5,0,0,0,0,0,108.0,40.0,120.0,39.8,1,0.6435011087932844,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
121,6,5,0,0,0,0,0,108.0,40.0,119.7,38.1,0,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
121,57,5,0,0,0,0,0,108.0,40.0,120.0,36.6,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
122,58,5,0,0,0,0,0,108.0,40.0,120.0,43.5,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
123,41,5,0,0,1,0,0,108.0,40.0,120.0,37.6,0,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
124,38,5,0,0,0,0,0,108.0,40.0,119.5,38.6,0,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
125,44,5,0,0,0,0,0,108.0,40.0,120.0,37.0,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
126,46,5,0,0,0,0,0,108.0,40.0,120.0,38.4,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
127,29,5,0,0,0,0,0,108.0,40.0,120.0,43.7,1,0.6435011087932844,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
3,13,1,1,0,0,0,0,109.1,33.4,120.0,36.6,1,0.53728900569042,6.600000000000001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.742448744256349
26,45,1,0,0,0,0,0,103.5,35.7,104.3,36.1,0,0.4478890967020737,4.299999999999997,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.0510996712822
39,47,1,0,0,1,0,0,118.6,31.2,119.0,34.2,0,0.1748521522184627,8.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.910667763978187
47,44,1,0,0,0,0,0,89.4,48.4,120.0,45.0,0,0.2421938168872849,8.399999999999999,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,31.73200277322564
46,43,2,0,0,1,0,0,111.1,51.5,116.8,43.2,0,0.3493295572003645,11.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.54166427889188
47,25,2,1,0,0,0,0,105.9,35.9,120.0,47.9,0,0.5143423600974242,4.100000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.68400490329528
54,23,2,0,0,0,0,0,112.1,50.0,113.2,48.8,0,0.4075019724575296,10.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.744018204632324
65,31,2,0,0,0,0,0,90.2,47.6,101.2,45.9,0,0.2509923363369247,7.600000000000001,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,30.75386154615384
65,38,2,0,0,0,0,0,107.5,26.5,120.0,48.3,0,0.3006763914001276,13.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18.398369492974098
69,12,2,0,0,0,0,0,90.6,21.7,120.0,35.0,0,0.1962169764844778,18.3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,34.63018914184559
72,33,2,1,0,0,0,0,108.3,38.0,119.1,37.2,0,0.6431551146505476,2.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.86970934774732
73,50,2,0,1,0,0,0,105.7,43.2,120.0,35.1,0,0.522326699720926,3.200000000000003,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14.653668482670131
76,27,2,1,1,0,0,0,105.7,51.8,114.3,43.4,0,0.3358441373579275,11.799999999999995,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,18.53995685000372
77,41,2,0,1,0,0,0,113.1,35.6,116.5,46.0,0,0.8252188655080596,4.399999999999999,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.18352002502591
85,23,2,0,0,0,0,0,108.1,40.1,120.0,41.6,1,0.648500559577246,0.1000000000000014,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11.900420160649796
96,1,2,1,0,0,0,0,96.5,36.3,99.3,36.5,0,0.3294007735191716,3.700000000000003,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,23.78949347926517
93,2,3,1,0,0,0,0,96.6,37.8,120.0,47.8,0,0.3357776904408062,2.200000000000003,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23.50319127267615
96,53,3,0,0,0,0,0,91.3,51.9,120.0,34.9,0,0.2373052267712277,11.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,31.06927742964101
101,42,3,0,1,0,0,0,113.8,44.5,120.0,34.4,0,0.8601314059848857,4.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.660939890117924
106,16,3,0,1,0,0,0,115.1,32.9,116.0,34.2,0,0.5909987311430925,7.100000000000001,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8.626702730475884
