minute,second,period,team_name,player_name,position_name,x,y,end_x,end_y,body_part_name,technique_name,play_pattern_name,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,outcome_name,season_name,goal,shot_distance,angle,centrality
88,11,2,Argentina,Lautaro Javier Martínez,Left Center Forward,107.6,31.9,120.0,45.1,Right Foot,Normal,From Counter,False,True,False,False,False,0.24890411,Off T,2022,0,14.81114445274234,0.4150731901931781,8.100000000000001
92,10,2,Argentina,Lautaro Javier Martínez,Left Center Forward,109.1,31.8,114.1,35.9,Left Foot,Normal,From Throw In,False,False,False,False,False,0.37209997,Saved,2022,0,13.640014662748722,0.4328916118169197,8.2
92,50,2,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,104.6,52.2,120.0,36.5,Left Foot,Normal,Regular Play,False,False,False,False,False,0.055600196,Off T,2022,0,19.646882704388506,0.29378608871995493,12.200000000000003
93,43,2,Argentina,Exequiel Alejandro Palacios,Left Center Midfield,103.6,50.1,107.3,47.9,Right Foot,Normal,Regular Play,False,False,False,False,False,0.046685893,Blocked,2022,0,19.260581507316964,0.3239048619661006,10.100000000000001
93,54,2,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,102.2,40.0,103.5,39.9,Left Foot,Normal,Regular Play,True,False,False,False,False,0.032042325,Blocked,2022,0,17.799999999999997,0.4055831582741886,0.0
93,59,2,Argentina,Lautaro Javier Martínez,Left Center Forward,108.3,30.8,119.1,36.6,Left Foot,Normal,Regular Play,False,False,False,False,True,0.076142184,Saved,2022,0,14.88388390172404,0.390367109020206,9.2
94,0,2,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,106.4,37.0,120.0,53.8,Left Foot,Half Volley,Regular Play,False,True,False,False,False,0.110446885,Wayward,2022,0,13.926952286842942,0.5038698213662062,3.0
96,36,2,Australia,Garang Kuol,Left Center Forward,113.1,49.4,115.7,46.4,Right Foot,Normal,Regular Play,False,False,False,False,False,0.23394231,Saved,2022,0,11.66061747936189,0.3908594519924564,9.399999999999999
2,29,1,Australia,Riley McGree,Right Center Forward,94.6,46.6,102.9,44.5,Left Foot,Normal,From Throw In,False,False,False,False,False,0.038979717,Blocked,2022,0,26.24347537960627,0.2686605032041837,6.600000000000001
10,0,1,Denmark,Jesper Lindstrøm,Left Wing,110.1,43.9,111.1,43.6,Right Foot,Normal,From Goal Kick,False,True,False,False,False,0.09599891,Blocked,2022,0,10.640488710580925,0.6279337348923318,3.8999999999999986
10,52,1,Denmark,Mathias Jensen,Right Center Midfield,112.7,56.3,117.7,45.4,Right Foot,Normal,From Goal Kick,False,False,True,False,False,0.019605601,Saved,2022,0,17.86001119820477,0.1731146238307637,16.299999999999997
13,33,1,Denmark,Andreas Skov Olsen,Right Wing,104.7,50.7,120.0,45.1,Right Foot,Normal,From Throw In,False,False,False,False,False,0.10059545,Off T,2022,0,18.670297265978387,0.322469627759582,10.700000000000003
21,44,1,Australia,Riley McGree,Right Center Forward,101.3,59.0,117.5,42.9,Left Foot,Half Volley,From Free Kick,False,False,False,False,False,0.010740947,Saved,2022,0,26.658769664033635,0.1938424047581454,19.0
24,7,1,Denmark,Andreas Skov Olsen,Right Wing,109.6,50.5,116.4,44.4,Right Foot,Normal,From Throw In,False,True,False,False,False,0.09373255,Saved,2022,0,14.778700890132399,0.35554927248845725,10.5
28,36,1,Denmark,Christian Dannemann Eriksen,Left Center Midfield,102.9,25.6,120.0,33.5,Right Foot,Normal,Regular Play,False,False,False,False,False,0.035615563,Off T,2022,0,22.355536227073593,0.2518910995787518,14.399999999999999
31,33,1,Australia,Mitchell Thomas Duke,Left Center Forward,102.5,36.7,118.4,41.7,Head,Normal,From Throw In,False,False,False,False,False,0.037495814,Saved,2022,0,17.808424972467385,0.3991029095120805,3.299999999999997
