match_id,competition_name,season_name,minute,second,period,team,player,position,shot_body_part,shot_technique,play_pattern,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,shot_outcome,x,y,end_x,end_y,goal
3922838,African Cup of Nations,2023,35,3,1,Côte d'Ivoire,Sébastien Haller,Center Forward,Right Foot,Overhead Kick,From Corner,1,0,0,0,0,0.043506656,Off T,106.5,35.8,120.0,45.6,0
3922838,African Cup of Nations,2023,39,24,1,Côte d'Ivoire,Jean Michaël Seri,Center Defensive Midfield,Right Foot,Normal,From Free Kick,0,0,0,0,0,0.006658055,Blocked,86.6,53.0,103.3,45.0,0
3922838,African Cup of Nations,2023,39,49,1,Côte d'Ivoire,Sébastien Haller,Center Forward,Head,Normal,From Free Kick,0,0,0,0,0,0.11239436,Off T,111.6,38.1,120.0,47.3,0
3922838,African Cup of Nations,2023,41,39,1,Côte d'Ivoire,Franck Yannick Kessié,Right Center Midfield,Left Foot,Normal,From Throw In,1,1,0,0,0,0.031089734,Post,102.7,55.1,120.0,36.0,0
3922838,African Cup of Nations,2023,47,50,2,Congo DR,Théo Bongonda Mbul''Ofeko Batombo,Center Attacking Midfield,Right Foot,Normal,From Keeper,0,0,0,0,0,0.1310874,Off T,112.7,52.5,120.0,45.3,0
3922838,African Cup of Nations,2023,58,30,2,Côte d'Ivoire,Franck Yannick Kessié,Right Center Midfield,Left Foot,Normal,Regular Play,0,0,0,0,0,0.082066976,Saved,100.9,49.6,117.1,40.9,0
3922838,African Cup of Nations,2023,59,59,2,Côte d'Ivoire,Max-Alain Gradel,Right Wing,Left Foot,Half Volley,From Throw In,1,0,0,0,0,0.04650909,Blocked,101.6,31.6,105.4,33.1,0
3922838,African Cup of Nations,2023,61,49,2,Côte d'Ivoire,Obite Evan Ndicka,Left Center Back,Head,Normal,From Corner,0,0,0,0,0,0.028805235,Off T,110.2,31.8,120.0,33.5,0
3922838,African Cup of Nations,2023,64,4,2,Côte d'Ivoire,Sébastien Haller,Center Forward,Right Foot,Volley,Regular Play,0,1,0,0,0,0.07458717,Goal,106.3,30.2,120.0,42.8,1
3922838,African Cup of Nations,2023,66,14,2,Congo DR,Samuel Moutoussamy,Left Defensive Midfield,Left Foot,Normal,From Throw In,0,0,0,0,0,0.008312197,Off T,103.1,63.6,120.0,36.3,0
3922838,African Cup of Nations,2023,67,48,2,Côte d'Ivoire,Sébastien Haller,Center Forward,Head,Normal,From Corner,1,0,0,0,0,0.07404503,Off T,114.7,32.8,120.0,38.2,0
